timestamp,class,distance_m,zone,side,confidence,alert_type
2026-06-10T16:46:43.401269,motorcycle,7.0,FAR,LEFT,0.73,AWARENESS
2026-06-10T16:46:43.401269,car,7.0,FAR,RIGHT,0.50,AWARENESS
2026-06-10T16:46:43.401269,car,7.0,FAR,RIGHT,0.50,AWARENESS
2026-06-10T16:46:43.401269,person,7.0,FAR,LEFT,0.47,AWARENESS
2026-06-10T16:46:43.401269,truck,7.0,FAR,RIGHT,0.41,AWARENESS
2026-06-10T16:46:43.401269,person,7.0,FAR,RIGHT,0.36,AWARENESS
2026-06-10T16:46:43.422540,motorcycle,7.0,FAR,LEFT,0.64,AWARENESS
2026-06-10T16:46:43.422540,car,7.0,FAR,LEFT,0.52,AWARENESS
2026-06-10T16:46:43.422540,car,7.0,FAR,RIGHT,0.52,AWARENESS
2026-06-10T16:46:43.422540,person,7.0,FAR,RIGHT,0.48,AWARENESS
2026-06-10T16:46:43.422540,car,7.0,FAR,RIGHT,0.47,AWARENESS
2026-06-10T16:46:43.422540,person,7.0,FAR,LEFT,0.46,AWARENESS
2026-06-10T16:46:43.422540,person,7.0,FAR,RIGHT,0.39,AWARENESS
2026-06-10T16:46:43.422540,truck,7.0,FAR,LEFT,0.35,AWARENESS
2026-06-10T16:46:43.422540,motorcycle,7.0,FAR,LEFT,0.33,AWARENESS
2026-06-10T16:46:43.422540,truck,7.0,FAR,RIGHT,0.33,AWARENESS
2026-06-10T16:46:43.422540,motorcycle,7.0,FAR,LEFT,0.31,AWARENESS
2026-06-10T16:46:43.443519,car,7.0,FAR,RIGHT,0.78,AWARENESS
2026-06-10T16:46:43.443519,car,7.0,FAR,RIGHT,0.52,AWARENESS
2026-06-10T16:46:43.443519,car,7.0,FAR,LEFT,0.48,AWARENESS
2026-06-10T16:46:43.443519,motorcycle,7.0,FAR,LEFT,0.46,AWARENESS
2026-06-10T16:46:43.443519,motorcycle,7.0,FAR,LEFT,0.34,AWARENESS
2026-06-10T16:46:43.443519,person,7.0,FAR,RIGHT,0.32,AWARENESS
2026-06-10T16:46:43.465193,car,7.0,FAR,RIGHT,0.58,AWARENESS
2026-06-10T16:46:43.465193,car,7.0,FAR,RIGHT,0.49,AWARENESS
2026-06-10T16:46:43.465193,car,7.0,FAR,RIGHT,0.44,AWARENESS
2026-06-10T16:46:43.465193,person,7.0,FAR,RIGHT,0.42,AWARENESS
2026-06-10T16:46:43.465193,truck,7.0,FAR,RIGHT,0.42,AWARENESS
2026-06-10T16:46:43.465193,truck,7.0,FAR,LEFT,0.40,AWARENESS
2026-06-10T16:46:43.465193,car,7.0,FAR,LEFT,0.40,AWARENESS
2026-06-10T16:46:43.465193,person,7.0,FAR,RIGHT,0.32,AWARENESS
2026-06-10T16:46:43.465193,person,7.0,FAR,RIGHT,0.32,AWARENESS
2026-06-10T16:46:43.486079,car,7.0,FAR,RIGHT,0.78,AWARENESS
2026-06-10T16:46:43.486079,car,7.0,FAR,RIGHT,0.75,AWARENESS
2026-06-10T16:46:43.486079,person,7.0,FAR,RIGHT,0.55,AWARENESS
2026-06-10T16:46:43.486079,car,7.0,FAR,RIGHT,0.50,AWARENESS
2026-06-10T16:46:43.486079,car,7.0,FAR,LEFT,0.48,AWARENESS
2026-06-10T16:46:43.486079,truck,7.0,FAR,RIGHT,0.42,AWARENESS
2026-06-10T16:46:43.486079,person,7.0,FAR,RIGHT,0.42,AWARENESS
2026-06-10T16:46:43.486079,car,7.0,FAR,LEFT,0.37,AWARENESS
2026-06-10T16:46:43.486079,motorcycle,7.0,FAR,LEFT,0.33,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,RIGHT,0.78,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,RIGHT,0.75,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,LEFT,0.46,AWARENESS
2026-06-10T16:46:43.506721,motorcycle,7.0,FAR,LEFT,0.44,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,LEFT,0.44,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,RIGHT,0.43,AWARENESS
2026-06-10T16:46:43.506721,person,7.0,FAR,RIGHT,0.43,AWARENESS
2026-06-10T16:46:43.506721,person,7.0,FAR,RIGHT,0.37,AWARENESS
2026-06-10T16:46:43.506721,person,7.0,FAR,RIGHT,0.34,AWARENESS
2026-06-10T16:46:43.506721,person,7.0,FAR,LEFT,0.31,AWARENESS
2026-06-10T16:46:43.506721,person,7.0,FAR,RIGHT,0.31,AWARENESS
2026-06-10T16:46:43.506721,car,7.0,FAR,RIGHT,0.31,AWARENESS
2026-06-10T16:46:43.527921,car,7.0,FAR,RIGHT,0.78,AWARENESS
2026-06-10T16:46:43.527921,car,7.0,FAR,RIGHT,0.61,AWARENESS
2026-06-10T16:46:43.527921,motorcycle,7.0,FAR,LEFT,0.56,AWARENESS
2026-06-10T16:46:43.527921,car,7.0,FAR,LEFT,0.51,AWARENESS
2026-06-10T16:46:43.527921,car,7.0,FAR,RIGHT,0.37,AWARENESS
2026-06-10T16:46:43.527921,truck,7.0,FAR,LEFT,0.36,AWARENESS
2026-06-10T16:46:43.527921,person,7.0,FAR,LEFT,0.34,AWARENESS
2026-06-10T16:46:43.527921,car,7.0,FAR,LEFT,0.34,AWARENESS
2026-06-10T16:46:43.527921,person,7.0,FAR,RIGHT,0.30,AWARENESS
2026-06-10T16:46:43.555341,car,7.0,FAR,RIGHT,0.79,AWARENESS
2026-06-10T16:46:43.555341,car,7.0,FAR,RIGHT,0.59,AWARENESS
